"date","Loon","Silver","Carol","North Twin","South Twin","McKusick","Long","Unnamed","Lily","Louise","West Boot","Big Carnelian","Unnamed (Goggins)","Benz","Mann","Bass","Unnamed (Bass)","Pat","Masterman","Wood Pile","Sunnybrook","Round","Plaisted","North School Section","South School Section","Unnamed (Jackson WMA)","Unnamed (Kismet Basin)","Klawitter Pond","Unnamed (Heiforts Pond)"
"1976-05-25",905.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-04-30",905.12,909.66,883.6,884.69,889.32,853.57,890.81,NA,845.15,945.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-05-02",905.16,909.62,883.44,884.75,889.28,NA,890.72,946.27,NA,945.37,918.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972.24,NA,NA,NA,NA
"1996-05-07",905.17,909.66,883.32,884.69,889.14,NA,890.71,946.27,NA,NA,918.46,863.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-05-15",905.16,909.64,883.38,884.73,889.33,NA,890.57,946.24,NA,945.44,918.44,863.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-05-20",905.56,909.96,884.1,884.93,889.52,NA,891.29,946.5,NA,945.77,918.67,863.25,NA,NA,NA,NA,NA,NA,NA,NA,981.04,NA,NA,NA,NA,NA,NA,NA,NA
"1996-05-27",905.34,909.73,883.8,884.8,889.32,NA,890.78,946.39,NA,945.69,918.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,980.46,NA,NA,NA,NA,NA,NA,NA,NA
"1996-05-30",905.26,NA,883.74,NA,NA,NA,890.7,946.33,NA,945.65,918.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972.58,NA,NA,NA,NA
"1996-06-01",905.23,909.66,883.7,884.73,889.28,NA,890.6,946.31,NA,945.61,NA,862.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-06-13",905.16,909.56,883.8,884.69,889.25,NA,890.39,NA,NA,945.63,918.44,862.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972.66,NA,NA,NA,NA
"1996-06-18",905.3,909.62,883.86,884.77,889.32,NA,890.59,946.21,NA,NA,918.61,862.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-06-25",905.32,NA,883.95,NA,NA,NA,890.81,946.27,845.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972.9,NA,NA,NA,NA
"1996-06-27",905.24,909.74,883.86,884.57,889.46,NA,890.73,NA,NA,945.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980.36,NA,NA,NA,NA,NA,NA,NA,NA
"1996-07-05",905.12,909.53,883.66,884.65,889.3,NA,890.45,945.95,NA,945.69,918.51,862.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-07-16",904.99,909.44,883.7,884.59,889.18,NA,890.29,945.83,NA,945.59,918.43,862.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-07-24",905.02,909.4,883.7,884.73,889.19,NA,890.24,945.63,NA,945.57,918.4,862.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-07-31",904.98,909.36,883.7,884.61,889.17,NA,890.24,945.62,NA,945.53,918.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-08-07",904.96,909.35,883.3,884.61,889.17,NA,890.32,NA,NA,945.49,918.27,862.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-08-19",904.8,909.16,882.9,884.44,888.925,NA,890.13,NA,NA,945.27,918.11,862.39,NA,NA,NA,NA,NA,NA,NA,NA,979.06,NA,NA,NA,NA,NA,NA,NA,NA
"1996-08-20",904.8,NA,NA,NA,NA,NA,890.12,NA,NA,945.27,918.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-08-29",904.7,909.04,882.84,884.37,888.9,NA,890.05,NA,NA,945.15,918.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972.24,NA,NA,NA,NA
"1996-09-08",904.69,908.94,882.86,884.29,888.8,NA,890.03,NA,NA,945.12,918.03,862.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-09-16",904.56,NA,882.82,884.19,888.64,NA,889.91,NA,NA,944.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978.56,NA,NA,NA,NA,NA,NA,NA,NA
"1996-09-19",904.55,908.76,NA,NA,NA,NA,889.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-10-03",904.53,908.74,883,884.24,888.6,NA,890,NA,NA,944.87,917.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971.86,NA,NA,NA,NA
"1996-10-11",904.46,908.66,883.09,NA,NA,NA,889.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996-10-14",904.46,908.66,883.15,NA,888.5,NA,889.9,NA,NA,944.77,917.71,862.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
